formatted_article,nepali_summary
"""आर्टिफिसियल इन्टेलिजेन्स (एआई) को क्षेत्रमा काम गर्ने नेपाली मूलका व्यवसायीले सञ्चालन गरेको कम्पनी फ्युजमेशिन्स अमेरिकी स्टक एक्सचेन्ज (नास्डेक) मा सूचिकृत हुने भएको छ । नेपाली व्यवसायी समीर मास्केले सन् २०१३ मा सुरु गरेको यो कम्पनी नास्डेकमा सूचीकृत हुने नेपाली मूलको पहिलो कम्पनी हुन लागेको हो । अमेरिकामा प्रधान कार्यालय रहेको यस कम्पनीले नेपाल, डोमिनिकन रिपब्लिक लगायत अन्य देशहरुमा कार्यालयहरु स्थापना गरिसकेको छ । दुबै कम्पनीले सन् २०२४ को दोस्रो त्रैमासिकको अन्त्यसम्ममा नास्डेकमा सूचिकृत हुने गरी मर्जर सम्झौता अघि बढाइएको बताएका छन् । काठमाडौँमा जन्मिएका मास्के अमेरिकी विश्वविद्यालयबाट उच्च शिक्षा हासिल गरी आर्टिफिसियल इन्टेलिजेन्सको क्षेत्रमा काम गर्दै आएका छन् । उनी कोलम्बिया विश्वविद्यालयका एसोसिएट प्रोफेसर पनि हुन् । नास्डेकमा सूचीकृत हुनु आफ्नो कम्पनीका लागि ठूलो कोसेढुङ्गा भएको बताउँदै मास्केले नेपाली मूलको कम्पनीको सूचीकरण हुनु आफैँमा ऐतिहासिक पनि भएको बताए ।""","नेपालको स्वामित्वमा रहेको आर्टिफिसियल इन्टेलिजेन्स कम्पनी फ्युजमेशिन्स सन् २०२४ को अन्त्यसम्ममा अमेरिकी स्टक एक्सचेन्ज (नास्डेक) मा सूचिकृत हुने भएको छ । समीर मास्केले सन् २०१३ मा स्थापना गरेको यस कम्पनीको प्रधान कार्यालय नेपाल, डोमिनिकन रिपब्लिक लगायत अन्य देशमा रहेको छ । कोलम्बिया युनिभर्सिटीका एसोसिएट प्रोफेसर मास्केले यो सूचीकरण आफ्नो कम्पनीका लागि महत्वपूर्ण कोसेढुङ्गा र नेपाली स्वामित्वको एआई कम्पनीका लागि ऐतिहासिक उपलब्धि भएको बताए ।"
"""काठमाण्डाै – नेपाल आयल निगमले आगामी माघ १ गतेदेखि लागू हुने गरी इन्धनको मूल्य घटाएको छ । निगमले सोमबार एक विज्ञप्ति जारी गर्दै पेट्रोल, डिजेल र मट्टितेलको मूल्य प्रतिलिटर एक रुपैयाँले घटेको जनाएको छ । निगमका अनुसार चारआली, विराटनगर, जनकपुर, अमलेखगञ्ज, भलबारी, नेपालगञ्ज, धनगढी र वीरगञ्जमा पेट्रोलको मूल्य प्रतिलिटर रु १६३.५ र डिजेल र मट्टितेलको मूल्य प्रतिलिटर रु १५३.५ कायम गरिएको छ । यस्तै दाङ र सुर्खेतमा पेट्रोलको मूल्य प्रतिलिटर १६५ रुपैयाँ, काठमाडौं, पोखरा र दिपायलमा प्रतिलिटर १६६ रुपैयाँ कायम गरिएको छ । इन्डियन आयल कर्पोरेसन (आइओसी) बाट प्राप्त नयाँ मूल्यसूचीअनुसार पेट्रोलियम पदार्थको मूल्य घटाइएको निगमले जनाएको छ ।""","नेपाल आयल निगमले विभिन्न डिपोमा पेट्रोल, डिजेल र मट्टितेलको मूल्य प्रतिलिटर एक रुपैयाँ कायम गरेको छ । चारआली, विराटनगर, जनकपुर, अमलेखगञ्ज, भलबारी, नेपालगञ्ज, धनगढी र वीरगञ्जमा पेट्रोलको मूल्य प्रतिलिटर रु १६३.५ र डिजेल र मट्टितेलको मूल्य प्रतिलिटर रु १५३.५ कायम गरिएको छ ।"
"""नेपाली पर्यटकका लागि सबैभन्दा आकर्षक बाह्य पर्यटकीय गन्तव्य भारत, संयुक्त अरब इमिरेट्स (युएई) र थाइल्याण्ड रहेका छन् ।  सन् २०२३ मा दुई लाख चार हजार ५१८ नेपाली पर्यटकका रुपमा विदेश गएका थिए ।  अध्यागमन विभागको तथ्यांकअनुसार ७१ हजार ६ सय ९८ जना भारत, ५५ हजार ६ सय १८ जना युएई, २१ हजार २ सय ६० जना थाइल्याण्ड, ६ हजार ९३ जना चीन र ५ हजार ८ सय १ जना अष्ट्रेलिया गएका छन् । सन् २०२३ मा कूल १६ लाख तीन हजार ८३६ नेपाली विदेश गएका थिए । जसमध्ये आठ लाख आठ हजार ४१५ नेपाली रोजगारीको खोजीमा विदेश गएका छन् ।""","भारत, संयुक्त अरब इमिरेट्स (युएई) र थाइल्याण्डमा बाह्य पर्यटकीय गन्तव्यको खोजीमा नेपाली पर्यटकको घुइँचो लागेको छ । सन् २०२३ मा २ लाख ४ हजार ५ सय १८, भारतमा ७१ हजार ६ सय ९८, संयुक्त अरब इमिरेट्समा ५५ हजार ६ सय १८, थाइल्याण्डमा २१ हजार २ सय ६०, चीनमा ६ हजार ९३ र अस्ट्रेलियामा ५ हजार ८ सय १ जना नेपालीले भ्रमण गरेका थिए । तीमध्ये १६ लाख ३ हजार ८सय ३६ जना वैदेशिक रोजगारीमा गएका छन् भने ८ लाख ८ हजार ४ सय १५ जना रोजगारीका लागि गएका छन् ।"
"""काठमाण्डाै – सुनचाँदीको मूल्य माथी उकालो लागेको छ । नेपाल सुनचाँदी व्यवसायी महासंघका अनुसार आज छापावाला सुनको मूल्य प्रतितोला ५सय रुपैयाँले बढेको छ भने तेजावी सुनको मूल्य प्रतितोला १ सय रुपैयाँले बढेको छ । सुनचाँदीको मूल्य बढेसँगै छापावाला सुनको मूल्य प्रतितोला रु एक लाख १९ हजार २००, तेजाबी सुनको मूल्य प्रतितोला रु एक लाख १८ हजार ६५० र चाँदीको मूल्य प्रतितोला रु एक हजार ४२० पुगेको छ । यसअघि गत माघ १५ गते छापावाला सुनको मूल्य प्रतितोला रु एक लाख १८ हजार ६००, तेजाबी सुनको मूल्य रु एक लाख १८ हजार ५० र चाँदीको मूल्य रु एक हजार ४०० निर्धारण गरिएको थियो ।""","नेपाल सुनचाँदी व्यवसायी महासंघका अनुसार आज छापावाला सुनको मूल्य प्रतितोला रु ६०० र चाँदीको मूल्य प्रतितोला रु २० ले वृद्धि भएको छ । २४ क्यारेट सुनको मूल्य प्रतितोला रु एक लाख १९ हजार २००, तेजाबी सुन (२२ क्यारेट) रु एक लाख १८ हजार ६५० र चाँदी प्रतितोला रु एक हजार ४२० पुगेको छ । यसअघि एक लाख १८ हजार ६०० रुपैयाँ, एक लाख १८ हजार ५० रुपैयाँ र एक हजार ४०० रुपैयाँ कायम गरिएको थियो ।"
"""नेपाल विद्युत् प्राधिकरणले डेडिकेटेड फिडर र ट्रंक लाइन विवादमा थप एक उद्योगको विद्युत् कटौती गरेको छ । बारा–पर्सा औद्योगिक करिडोरमा सञ्चालित हुलास स्टिल्सको विद्युत् लाइन प्राधिकरणले सोमबार काटेको छ । सन् २०२३ को डिसेम्बर दोस्रो सातासम्म उद्योगको बक्यौता रकम ४३ करोड २४ लाख रुपैयाँ रहेको छ । प्राधिकरणले रु पाँच करोडभन्दा बढी बेरुजु भएका २४ उद्योगको लाइन काटिसकेको छ । यसमध्ये हिमाल स्टिलले किस्ताबन्दीमा बक्यौता रकम भुक्तानी गर्ने र पहिलो किस्ता तिरेपछि प्राधिकरणले लाइन जोडेको हो । प्राधिकरणले पुस १ गतेदेखि भुक्तानी नदिने उद्योगको लाइन काट्न थालेको हो ।""",नेपाल विद्युत् प्राधिकरणले बारा–पर्सा औद्योगिक करिडोरको हुलास स्टिल्सको विद्युत् रु ४३ करोड २४ लाख बक्यौता रहेको भन्दै विद्युत् कटौती गरेको छ । प्राधिकरणले रु पाँच करोडभन्दा बढी बक्यौता रहेको २४ वटा लाइन काटिसकेको छ । हिमाल स्टिलले किस्ताबन्दीमा बक्यौता रकम भुक्तानी गर्नेछ र पहिलो किस्ता तिरेपछि लाइन जोडिनेछ । प्राधिकरणले डिसेम्बर २३ देखि नतिर्ने लाइन काट्न सुरु गरेको थियो ।
"""चालू आर्थिक वर्षको पहिलो पाँच महिनामा नेपालमा रु नौ अर्ब ९७ करोड मूल्य बराबरको एक हजार २१० किलोग्राम सुन आयात भएको छ । भन्सार विभागले सार्वजनिक गरेको साउनदेखि कात्तिकसम्मको आयात तथ्याङ्कअनुसार गत वर्षको सोही अवधिको तुलनामा यस वर्ष सुनको वैध आयात घटेको हो । सन् २०२२ को नोभेम्बरसम्ममा नेपालले १० अर्ब ७५ करोड रुपैयाँ बराबरको १ हजार ४ सय ६६ किलो सुन आयात गरेको थियो । यसले गत वर्षको तुलनामा रु सात करोड ८० लाख बराबरको २६५ किलो सुन आयातमा कमी आएको तथ्याङ्कले देखाएको छ । गत नोभेम्बर १६ सम्म नेपालले एक हजार किलो सुन आयात गरेको थियो । भन्सार को तथ्याङ्कअनुसार उच्च खपत को अवधि, नोभेम्बर मा 210 किलो सुन आयात मा विशिष्ट वृद्धि भएको छ, जसको कुल लागत 1.76 अर्ब रुपैयाँ छ।""",चालु आर्थिक वर्षको पहिलो पाँच महिनामा नेपालबाट ९ अर्ब ९७ करोड रुपैयाँ बराबरको १ हजार २ सय १० किलो सुन आयात भएको छ । गत वर्षको तुलनामा यस वर्ष सुनको वैध आयात भने घटेको छ । सन् २०२२ को नोभेम्बरसम्ममा नेपालले १० अर्ब ७५ करोड रुपैयाँ बराबरको १ हजार ४ सय ६६ किलो सुन आयात गरेको थियो। गत कात्तिकमा सुनको आयातमा २१० केजीले वृद्धि भई रु एक अर्ब ७६ करोड पुगेको छ ।
"""भारतले प्याज निर्यातमा प्रतिबन्ध लगाएपछि व्यापारीले चीनबाट प्याज आयात गर्न थालेका छन् । नेपालमा प्याज आयातको मुख्य बजार भारतले गत पुस १५ गतेदेखि प्याज निर्यातमा रोक लगाएको थियो । भारतबाट प्याज निर्यातमा रोक लगाएपछि नेपाल कृषि उपज तथा आलु, प्याज आयात निर्यात तथा थोक बिक्रेता सङ्घले चीनबाट प्याज आयात गर्ने प्रक्रिया शुरु गरेको हो । सङ्घका महासचिव प्रकाश गजुरेलले चीनको केरुङबाट नेपालका लागि आयात शुरु भएको र १०० टन प्याजको पहिलो खेप आउने क्रममा रहेको जानकारी दिनुभयो । यता तातोपानी भन्सार कार्यालयले पनि नेपालले चीनबाट प्याज आयात गर्न थालेको पुष्टि गरेको छ । तातापानी भन्सार कार्यालयका प्रमुख भन्सार प्रशासक दयानन्द केसीका अनुसार गत पुस ५ गते प्याज बोकेका दुई कन्टेनर नेपाल भित्रिएका थिए । 'भन्सार जाँचपास हुन बाँकी छ, तर प्याज बोकेका कन्टेनर नेपाल आउन थालेका छन्,' केसीले भने, 'अहिलेसम्म रकम निर्धारण भएको छैन।""","भारतले गत पुस १५ गतेदेखि प्याज निर्यातमा प्रतिबन्ध लगाएपछि नेपालले चीनबाट प्याज आयात गर्न थालेको हो । नेपाल कृषि उपज तथा आलु, प्याज आयात निर्यात तथा थोक बिक्रेता सङ्घले चीनको केरुङबाट १०० टन प्याजको पहिलो खेप आउन लागेको पुष्टि गरेको छ । तातोपानी भन्सार कार्यालयले चीनबाट प्याज आयात गर्न थालेको पुष्टि गर्दै दुई कन्टेनरमा प्याज नेपाल भित्रिएको पुष्टि गरेको छ । आयात हुने प्याजको मात्रा यकिन हुन सकेको छैन ।"
"""चालू आर्थिक वर्षको पहिलो चार महिनामा विदेशी विनिमय सञ्चिति १०.२ प्रतिशतले वृद्धि भएको छ । आयातमा आएको कमी र विप्रेषणमा उल्लेख्य वृद्धिका कारण यस्तो भएको हो । गत असार मसान्तमा १५ खर्ब ३९ अर्ब रुपैयाँ रहेको कुल विदेशी विनिमय सञ्चिति १०.२ प्रतिशतले वृद्धि भई कात्तिक मसान्तमा १६ खर्ब ९६ अर्ब रुपैयाँ पुगेको छ । नेपाल राष्ट्र बैंकका अनुसार अमेरिकी डलरमा रहेको विदेशी विनिमय सञ्चिति ८.९ प्रतिशतले वृद्धि भई कात्तिक मसान्तमा १२ अर्ब ७५ करोड अमेरिकी डलर पुगेको छ । कुल विदेशी विनिमय सञ्चितिमध्ये नेपाल राष्ट्र बैंकमा रहेको मौज्दात साउन मसान्तमा १३ खर्ब ४५ अर्ब रुपैयाँ रहेकोमा कात्तिक मसान्तमा बढेर १४ खर्ब ९० अर्ब रुपैयाँ पुगेको छ । अन्य बैंक तथा वित्तीय संस्थाको विदेशी विनिमय सञ्चिति जेठ मसान्तमा रु एक खर्ब ९३ अर्ब ५९ करोड रहेकोमा कात्तिक मसान्तसम्ममा रु दुई खर्ब पाँच अर्ब ९५ करोड रहेको छ ।  कुल विदेशी मुद्रासञ्चितिको २१.८ प्रतिशत हिस्सा भारतीय मुद्राको रहेको छ ।""",आयातमा आएको गिरावट र विप्रेषणमा उल्लेख्य वृद्धिका कारण चालू आर्थिक वर्षको पहिलो चार महिनामा नेपालमा विदेशी विनिमय सञ्चिति १०.२ प्रतिशतले वृद्धि भएको छ । कुल विदेशी विनिमय सञ्चिति साउनमा १५ खर्ब ३९ अर्ब रुपैयाँ रहेकोमा कात्तिक मसान्तमा बढेर १६ खर्ब ९६ अर्ब रुपैयाँ पुगेको छ । नेपाल राष्ट्र बैंकको विदेशी विनिमय सञ्चिति ८.९ प्रतिशतले वृद्धि भई १२ अर्ब ७५ करोड अमेरिकी डलर पुगेको छ । अन्य बैंक तथा वित्तीय संस्थाको सञ्चिति पनि बढेको छ र कुल विदेशी सञ्चितिको २१.८ प्रतिशत हिस्सा भारतीय मुद्राले ओगटेको छ ।
"""चालू आर्थिक वर्षको पहिलो चार महिनामा चार खर्ब ७७ अर्ब ९६ करोड रुपैयाँ विप्रेषण भित्रिएको छ ।  नेपाल राष्ट्र बैंकले सार्वजनिक गरेको चार महिनाको वित्तीय विवरणअनुसार गत वर्षको सोही अवधिको तुलनामा विप्रेषण आप्रवाह२६.४ प्रतिशतले वृद्धि भई २०.४ प्रतिशतले वृद्धि भएको छ ।  गत असोज २८ देखि कात्तिक १५ गतेसम्मको अवधिमा रु एक खर्ब १२ अर्ब बराबरको विप्रेषण भित्रिएको छ ।  समीक्षा अवधिमा अमेरिकी डलरमा विप्रेषणको वृद्धिदर २३.१ प्रतिशत रहेको छ ।  यस अवधिमा एक लाख ३७ हजार ४७५ नेपालीले वैदेशिक रोजगारीका लागि नयाँ श्रम स्वीकृति लिएका छन् भने ६८ हजार ८४१ ले श्रम स्वीकृति नवीकरण गरेका छन् ।""","चालू आर्थिक वर्षको पहिलो चार महिनामा नेपालले रु चार खर्ब ७७ अर्ब ९६ करोड विप्रेषण भित्र्याएको छ, जुन अघिल्लो वर्षको तुलनामा २६.४ प्रतिशतले बढी हो । अक्टोबर १८ देखि नोभेम्बर १६ सम्म अमेरिकी डलरमा २३.१ प्रतिशतले वृद्धि भई कुल १ खर्ब १२ अर्ब रुपैयाँ विप्रेषण भित्रिएको छ । वैदेशिक रोजगारीका लागि एक लाख ३७ हजार ४७५ नेपालीले नयाँ श्रम स्वीकृति लिएको प्रतिवेदनमा उल्लेख छ ।"
"""वीरगञ्ज (पर्सा), २८ पुस : मुलुकको आर्थिक अवस्थाले पर्साका साना तथा मझौला उद्योगलाई असर गरेको छ । घरेलु तथा साना उद्योग कार्यालय पर्साका अनुसार आर्थिक वर्ष २०७६/७७ मा जिल्लामा १७७ उद्योग बन्द भएका छन् । आर्थिक वर्ष २०७६/७७ मा १५२ उद्योग बन्द भएपछि यो संख्या बढेको हो । कार्यालयका प्रमुख धनञ्जयकुमार सिंह बैंक तथा वित्तीय संस्थाबाट ऋण नआउनुका साथै पूँजीको अभावका कारण अहिलेको अवस्था आएको बताउँछन् । आर्थिक वर्ष २०७६/७७ मा एक हजार ४८० नयाँ उद्योग दर्ता भएकामा आव २०७६/७७ मा एक हजार ८९ नयाँ उद्योग दर्ता भएका छन् । आर्थिक वर्ष २०७६/७७ मा उद्योगका लागि एक हजार २७५ नवीकरण भएका छन् । आर्थिक वर्ष २०७५/७६ मा उद्योगले रु एक करोडभन्दा बढी राजश्व सङ्कलन गरेका छन् । सिंहका अनुसार ती उद्योगले ४ हजार ४ सय ६० जनालाई रोजगारी दिएका छन् । सन् २०२१ मा सरकारले गरेको एक अध्ययनले कोभिड महामारीका कारण नेपालका ७५ प्रतिशत घरेलु तथा साना उद्योग बन्द भएको देखाएको थियो ।""",घरेलु तथा साना उद्योग कार्यालय पर्साका अनुसार आर्थिक वर्ष २०७६/७७ मा १७७ उद्योग बन्द भएका छन् भने आर्थिक वर्ष २०७६/७७ मा १५२ उद्योग बन्द भएका छन् । विद्यालयका प्रमुख धनञ्जयकुमार सिंहले ऋण र पुँजीको अभावका कारण यस्तो अवस्था आएको बताए । कार्यालयले एक हजार ८९ नयाँ उद्योग र एक हजार २७५ नवीकरण दर्ता गरी रु एक करोड भन्दा बढी राजश्व सङ्कलन गरेको छ भने चार हजार ४६० जनाले रोजगारी पाएका छन् । सन् २०२१ मा सरकारी अध्ययनले कोभिड महामारीका कारण नेपालका ७५ प्रतिशत घरेलु तथा साना उद्योग बन्द भएको देखाएको थियो ।
